storage_id,storage_name,city,crop_supported,capacity_tons,available_tons,price_per_ton_per_day
1,Nashik FreshVault,Nashik,Onion,500,180,32
2,Nashik AgroStore,Nashik,Onion,300,90,35
3,Nashik GreenKeep,Nashik,Apple,400,210,45
4,Pune ColdCare,Pune,Tomato,250,60,40
5,Pune FreshLock,Pune,Onion,350,140,34
6,Pune AgriVault,Pune,Apple,300,160,48
7,Nagpur CropSafe,Nagpur,Orange,420,200,38
8,Nagpur CitrusHold,Nagpur,Orange,380,170,36
9,Nagpur VegiStore,Nagpur,Tomato,260,70,42
10,Nagpur GrainSecure,Nagpur,Wheat,800,500,18
11,Indore HarvestHub,Indore,Potato,500,220,30
12,Indore FreshNest,Indore,Onion,450,180,33
13,Indore AgriCold,Indore,Apple,320,150,46
14,Indore GrainBank,Indore,Wheat,900,600,17
15,Bhopal GreenVault,Bhopal,Potato,480,190,31
16,Bhopal CropSafe,Bhopal,Onion,400,140,34
17,Bhopal FreshKeep,Bhopal,Apple,350,170,47
18,Kolhapur VegiCare,Kolhapur,Tomato,300,80,39
19,Kolhapur FarmCold,Kolhapur,Onion,420,160,33
20,Kolhapur GrainSafe,Kolhapur,Wheat,850,520,19
21,Aurangabad FreshBox,Aurangabad,Orange,360,150,37
22,Aurangabad CropNest,Aurangabad,Apple,300,140,46
23,Aurangabad VegiHold,Aurangabad,Tomato,280,75,41
24,Aurangabad GrainVault,Aurangabad,Maize,700,420,20
25,Mumbai UrbanCold,Mumbai,Onion,500,200,36
26,Mumbai FreshDock,Mumbai,Apple,380,170,49
27,Mumbai VegiHub,Mumbai,Tomato,260,65,44
28,Mumbai GrainLock,Mumbai,Wheat,900,600,18
29,Ahmedabad CropSafe,Ahmedabad,Potato,450,210,29
30,Ahmedabad FreshKeep,Ahmedabad,Onion,400,160,32
31,Ahmedabad GrainBank,Ahmedabad,Wheat,850,500,17
32,Ahmedabad AgroCold,Ahmedabad,Apple,330,150,45
33,Jaipur VegiVault,Jaipur,Tomato,280,90,40
34,Jaipur FreshHold,Jaipur,Onion,420,180,33
35,Jaipur FruitLock,Jaipur,Apple,360,170,47
36,Jaipur GrainSecure,Jaipur,Wheat,880,540,18
37,Nashik GrainCore,Nashik,Wheat,820,510,17
38,Nashik SoyStore,Nashik,Soybean,600,320,22
39,Pune GrainDepot,Pune,Maize,750,430,21
40,Pune SoySafe,Pune,Soybean,620,340,23
41,Nagpur GrainHub,Nagpur,Maize,780,460,20
42,Nagpur SoyVault,Nagpur,Soybean,610,330,22
43,Indore SoySafe,Indore,Soybean,640,360,23
44,Bhopal GrainDepot,Bhopal,Maize,760,440,21
45,Bhopal SoyStore,Bhopal,Soybean,630,350,22
46,Kolhapur GrainCore,Kolhapur,Maize,740,420,20
47,Kolhapur SoySafe,Kolhapur,Soybean,620,340,22
48,Aurangabad SoyHub,Aurangabad,Soybean,600,320,23
49,Mumbai GrainSafe,Mumbai,Maize,800,480,21
50,Mumbai SoyLock,Mumbai,Soybean,650,360,24
51,Jaipur SoySafe,Jaipur,Soybean,620,330,23
52,Jaipur PotatoHub,Jaipur,Potato,450,200,30
53,Indore VegiKeep,Indore,Tomato,290,80,41
54,Indore CitrusSafe,Indore,Orange,360,160,38
55,Indore PotatoVault,Indore,Potato,480,210,30
56,Bhopal GrainSafe,Bhopal,Wheat,860,520,18
57,Bhopal CitrusHold,Bhopal,Orange,340,150,37
58,Bhopal TomatoNest,Bhopal,Tomato,280,75,42
59,Bhopal PotatoCore,Bhopal,Potato,460,200,31
60,Kolhapur FreshNest,Kolhapur,Apple,330,150,46
61,Kolhapur CitrusVault,Kolhapur,Orange,360,155,38
62,Kolhapur PotatoSafe,Kolhapur,Potato,440,195,30
63,Aurangabad GrainDepot,Aurangabad,Wheat,820,500,18
64,Aurangabad CitrusCore,Aurangabad,Orange,350,160,37
65,Aurangabad PotatoHold,Aurangabad,Potato,460,205,31
66,Mumbai VegiCare,Mumbai,Tomato,270,70,44
67,Mumbai OnionHold,Mumbai,Onion,520,210,36
68,Mumbai CitrusSafe,Mumbai,Orange,390,175,39
69,Mumbai PotatoCore,Mumbai,Potato,470,215,31
70,Ahmedabad VegiVault,Ahmedabad,Tomato,280,80,42
71,Ahmedabad CitrusHold,Ahmedabad,Orange,360,165,38
72,Ahmedabad PotatoSafe,Ahmedabad,Potato,450,205,30
73,Ahmedabad GrainCore,Ahmedabad,Maize,780,460,21
74,Jaipur VegiCore,Jaipur,Tomato,290,85,41
75,Jaipur GrainBank,Jaipur,Maize,760,440,21
76,Jaipur AppleStore,Jaipur,Apple,340,160,47
77,Jaipur OnionNest,Jaipur,Onion,430,185,33
78,Pune VegiFresh,Pune,Tomato,300,90,40
79,Pune CitrusStore,Pune,Orange,360,165,38
80,Pune PotatoCore,Pune,Potato,440,200,30
81,Pune GrainHub,Pune,Wheat,850,530,18
82,Nagpur PotatoHold,Nagpur,Potato,460,210,31
83,Nagpur CitrusNest,Nagpur,Orange,370,165,38
84,Nagpur OnionSafe,Nagpur,Onion,420,175,34
